# 생성물 — 손으로 편집하지 않는다. 원본: glossary/announcements.json / 생성: scripts/build-lean.js
# 확정 문장 TM. 있으면 그대로 쓰고 가변부(날짜·서수·수치·상품명·연도)만 교체한다.
# notes(확정 사유)·status·근거는 원본 JSON 에 있다. 문서 단위 섹션 순서는 references/skeletons.md.
doc_type	category	source	target
special_drops	legal_notice	(접속 기준이 매일 02:00 UTC에 초기화됩니다.)	(Resets every day at 02:00 UTC.)
special_drops	legal_notice	(접속 기준이 매일 11:00 KST에 초기화됩니다.)	(Resets every day at 11:00 KST.)
special_drops	legal_notice	각 미션은 매일 11:00 KST에 초기화됩니다.	Each mission resets every day at 11:00 KST.
special_drops	legal_notice	각 미션은 매주 초기화됩니다.	Each mission resets every week.
special_drops	legal_notice	각 미션이 매일 02:00 UTC에 초기화됩니다.	Each mission resets every day at 02:00 UTC.
special_drops	legal_notice	복귀 플레이어: PUBG: 배틀그라운드 마지막 접속일로부터 28일 이상 경과한 플레이어	Returning Players: players who have been inactive for 28 days or more since their last login
special_drops	legal_notice	생존 미션은 듀오 또는 스쿼드 모드에서는 동료를 관전하는 시간을 포함합니다.	Survival time includes time spent spectating your teammates.
special_drops	legal_notice	신규 플레이어: PUBG: 배틀그라운드에 신규 가입한 지 14일 이하인 플레이어	New Players: players who joined PUBG: BATTLEGROUNDS 14 days ago or less
special_drops	legal_notice	아래 보상은 획득 후 7일간 이용할 수 있습니다.	Can be used for 7 days from the time the reward is claimed.
special_drops	legal_notice	친구 초대 이벤트는 생존 레벨 10 이상부터 참여가 가능합니다.	Players must have Survival Level 10 or higher to participate in the Friend Invite Event.
special_drops	legal_notice	해당 보상은 획득 후 7일간 이용할 수 있습니다.	Can be used for 7 days from the time the reward is claimed.
special_drops	mission_phrase	각 주차마다 오픈되는 미션을 클리어하여 보상을 획득할 수 있습니다.	Complete the missions that open each week to earn rewards.
special_drops	mission_phrase	경쟁전에서 누적 30분 동안 생존하기.	Survive a total of 30 minutes in Ranked Mode.
special_drops	mission_phrase	낙하산을 타고 누적 600 m 이동하기.	Parachute 600m in total.
special_drops	mission_phrase	누적 30분 동안 생존하기.	Survive 30 minutes in total.
special_drops	mission_phrase	로비 입장하기.	Enter the lobby.
special_drops	mission_phrase	로비에 매일 접속하기.	Enter the lobby daily.
special_drops	mission_phrase	로비에 접속하기.	Log in to the lobby.
special_drops	mission_phrase	미션을 수행하여 티켓을 획득하고, 빙고판에서 빙고를 달성하세요!	Complete missions to earn tickets, and complete your Bingo board!
special_drops	mission_phrase	미션을 수행하여 포인트를 획득하고, 누적한 포인트로 다양한 보상 아이템과 교환해보세요!	Complete missions to earn points, and exchange your accumulated points for a variety of reward items!
special_drops	mission_phrase	미션을 수행하여 포인트를 획득하고, 누적한 포인트로 보상 아이템과 교환해보세요!	Complete missions to earn points, and exchange your accumulated points for reward items.
special_drops	mission_phrase	붕대 누적 6개 사용하기.	Use 6 Bandages in total.
special_drops	mission_phrase	서바이벌 레벨 10을 달성하여 보상 획득하기.	Reach Survival Level 10 and earn a reward.
special_drops	mission_phrase	은신처에서 밀수품 쿠폰 50장 사용하기.	Use 50 Contraband Coupons in the Hideout.
special_drops	mission_phrase	이벤트 페이지에서 추천 코드를 생성하여 친구들에게 전달하기.	Generate a referral code from the event page and share it with your friends.
special_drops	mission_phrase	이전 미션을 완료하면 다음 미션이 오픈되어 진행할 수 있습니다.	Complete each mission to unlock the next.
special_drops	mission_phrase	이후 순차적으로 공개될 예정입니다.	To be revealed sequentially.
special_drops	mission_phrase	적에게 누적 피해량 400 주기.	Deal 400 total damage to enemies.
special_drops	mission_phrase	탈 것을 운전하여 누적 700 m 이동하기.	Drive vehicles 700m in total.
special_drops	product_label	(7일)	(7 Days)
special_drops	boilerplate	로비 내 이벤트 페이지를 통해 자세한 이벤트 내용을 확인할 수 있습니다.	Event details can be checked via the in-game lobby event page.
special_drops	boilerplate	전장에서 뵙겠습니다.	Happy Drops!
patch_notes	section_header	건 플레이	Gunplay
patch_notes	section_header	게임 플레이	Gameplay
patch_notes	section_header	기본 훈련	Basic Training
patch_notes	section_header	기존 지역 업데이트	Area Modifications
patch_notes	section_header	기타	Miscellaneous
patch_notes	section_header	라이브 점검 일정	Live Maintenance Schedule (UTC)
patch_notes	section_header	맵 서비스	Map Service
patch_notes	section_header	모드 소개	Mode Overview
patch_notes	section_header	버그 수정	Bug Fixes
patch_notes	section_header	봇 고도화	Bot Refinement
patch_notes	section_header	서비스 기간	Service Period (UTC)
patch_notes	section_header	성능	Performance
patch_notes	section_header	스폰 변경	Spawn Changes
patch_notes	section_header	아이템 & 스킨	Items & Skins
patch_notes	section_header	운영 시간	Operating Hours (UTC)
patch_notes	section_header	월드	World
patch_notes	section_header	일부 총기 삭제 예정 안내	Weapons to be Removed
patch_notes	legal_notice	경쟁전 운영 시간은 서비스 안정화 및 플레이 환경 개선을 위해 이후에도 지속적으로 조정될 수 있습니다.	Ranked service schedules may continue to be adjusted to improve service stability and overall matchmaking quality.
patch_notes	legal_notice	아래 명시된 시간은 점검 상황에 따라 변경될 수 있습니다.	The times shown below are subject to change.
patch_notes	legal_notice	영구 소장 아이템인 낙하산 및 무기 스킨과 메달을 제외한 모든 보상 아이템은 한 경쟁전 시즌 동안만 소유할 수 있습니다.	The Ranked Parachute skins, weapon skins, and Medals are permanent rewards. The rest of the obtainable rewards are available for use during a single Ranked season.
patch_notes	legal_notice	해당 업데이트는 사용자 지정 매치에도 적용됩니다.	The following updates apply to Custom Match as well.
patch_notes	mission_phrase	라이브 서버 업데이트와 함께 순위표가 초기화됩니다.	The leaderboard will reset after the live server maintenance.
patch_notes	mission_phrase	봇이 더욱 자연스럽게 행동하도록 개편하였습니다.	Bots have been improved to behave more naturally in various situations.
patch_notes	mission_phrase	일반 매치, 경쟁전, 캐주얼 모드에서 지원됩니다.	Available in Normal Match, Ranked, and Casual Mode.
patch_notes	mission_phrase	지난 시즌의 최종 티어는 전적 페이지에서 확인할 수 있습니다.	Check out your final Tier from the previous season through your Career page.
patch_notes	mission_phrase	지난 시즌의 최종 티어를 기반으로 획득하게 될 경쟁전 티어 보상을 확인해 보세요.	Below are the rewards you'll be receiving based on your final Tier from the previous Ranked season.
patch_notes	mission_phrase	클리핑 현상: 두 물체가 교차할 때 하나의 물체가 다른 물체를 가리는 현상	Clipping issue: Graphics that are shown outside the visible part of an image/object.
patch_notes	mission_phrase	헌터 상자와 기록보관소 상자에 새로운 아이템이 추가되었습니다.	New item sets have been added to the Hunter's Chest and Archivist's Chest.
